Date,Price,Volume,Market,Volatility,Price-to-Volume Ratio,SMA_50,OpenMarket,year,month,day,World_Population,USD_in_Circulation,Age_0_17,Age_17_64,Age_65_plus
2023-10-29,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2023,10,29,8.029691886340322,22.282574460801182,2.087719890448484,5.21929972612121,0.7226722697706289
2023-10-30,4.88,1.0,US Bonds,0.0160146343201353,4.88,4.5189,1,2023,10,30,8.029892404753781,22.285978383136975,2.0877720252359837,5.219430063089958,0.7226903164278402
2023-10-31,4.88,1.0,US Bonds,0.0159700770395946,4.88,4.5297,1,2023,10,31,8.03009292316724,22.28938230547277,2.0878241600234824,5.219560400058707,0.7227083630850516
2023-11-01,4.77,1.0,US Bonds,0.0166189464073636,4.77,4.5413,1,2023,11,1,8.0302934415807,22.29278622780857,2.087876294810982,5.219690737027455,0.7227264097422629
2023-11-02,4.67,1.0,US Bonds,0.016252570352653,4.67,4.5501,1,2023,11,2,8.030493959994159,22.29619015014436,2.087928429598481,5.219821073996203,0.7227444563994743
2023-11-03,4.57,1.0,US Bonds,0.0166306729653729,4.57,4.556500000000001,1,2023,11,3,8.030694478407618,22.29959407248016,2.087980564385981,5.219951410964952,0.7227625030566855
2023-11-04,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2023,11,4,8.030894996821077,22.302997994815957,2.08803269917348,5.2200817479337,0.7227805497138969
2023-11-05,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2023,11,5,8.031095515234536,22.30640191715175,2.08808483396098,5.220212084902449,0.7227985963711082
2023-11-06,4.67,1.0,US Bonds,0.0164964836693595,4.67,4.5659,1,2023,11,6,8.031296033647996,22.309805839487545,2.0881369687484788,5.220342421871197,0.7228166430283196
2023-11-07,4.58,1.0,US Bonds,0.0169033828711872,4.58,4.575100000000001,1,2023,11,7,8.031496552061455,22.313209761823337,2.0881891035359783,5.2204727588399455,0.7228346896855309
2023-11-08,4.49,1.0,US Bonds,0.0171585381473986,4.49,4.5825,1,2023,11,8,8.031697070474914,22.316613684159137,2.088241238323478,5.220603095808695,0.7228527363427423
2023-11-09,4.62,1.0,US Bonds,0.017974729707869,4.62,4.5931,1,2023,11,9,8.031897588888373,22.32001760649493,2.088293373110977,5.220733432777443,0.7228707829999536
2023-11-10,4.61,1.0,US Bonds,0.0179806209509522,4.61,4.6017,1,2023,11,10,8.032098107301833,22.323421528830725,2.0883455078984765,5.220863769746192,0.7228888296571649
2023-11-11,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2023,11,11,8.032298625715292,22.32682545116652,2.088397642685976,5.22099410671494,0.7229068763143762
2023-11-12,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2023,11,12,8.032499144128751,22.330229373502316,2.088449777473476,5.2211244436836886,0.7229249229715876
2023-11-13,4.63,1.0,US Bonds,0.0175384246779264,4.63,4.6098,1,2023,11,13,8.03269966254221,22.33363329583811,2.0885019122609747,5.221254780652437,0.7229429696287989
2023-11-14,4.44,1.0,US Bonds,0.0183493459897024,4.44,4.6132,1,2023,11,14,8.03290018095567,22.337037218173904,2.0885540470484742,5.221385117621185,0.7229610162860103
2023-11-15,4.53,1.0,US Bonds,0.0186045609505539,4.53,4.6178,1,2023,11,15,8.033100699369129,22.3404411405097,2.088606181835974,5.221515454589934,0.7229790629432216
2023-11-16,4.45,1.0,US Bonds,0.018843800264244,4.45,4.6214,1,2023,11,16,8.033301217782588,22.343845062845496,2.088658316623473,5.221645791558682,0.722997109600433
2023-11-17,4.44,1.0,US Bonds,0.0186436885271221,4.44,4.625,1,2023,11,17,8.033501736196047,22.347248985181288,2.0887104514109724,5.221776128527431,0.7230151562576442
2023-11-18,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2023,11,18,8.033702254609507,22.350652907517084,2.088762586198472,5.22190646549618,0.7230332029148556
2023-11-19,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2023,11,19,8.033902773022966,22.35405682985288,2.088814720985971,5.222036802464928,0.7230512495720669
2023-11-20,4.42,1.0,US Bonds,0.0185485681618916,4.42,4.6276,1,2023,11,20,8.034103291436425,22.357460752188672,2.08886685577347,5.222167139433677,0.7230692962292783
2023-11-21,4.41,1.0,US Bonds,0.0184386581854708,4.41,4.6304,1,2023,11,21,8.034303809849884,22.36086467452447,2.08891899056097,5.222297476402425,0.7230873428864896
2023-11-22,4.42,1.0,US Bonds,0.0182155273943837,4.42,4.6338,1,2023,11,22,8.034504328263344,22.364268596860263,2.0889711253484693,5.222427813371174,0.723105389543701
2023-11-23,4.445,1.0,US Bonds,0.0175299901026159,4.445,4.636900000000001,1,2023,11,23,8.034704846676803,22.36767251919606,2.089023260135969,5.222558150339922,0.7231234362009122
2023-11-24,4.47,1.0,US Bonds,0.017397603263335,4.47,4.6397,1,2023,11,24,8.034905365090262,22.37107644153185,2.0890753949234684,5.222688487308671,0.7231414828581235
2023-11-25,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2023,11,25,8.035105883503721,22.374480363867647,2.0891275297109675,5.222818824277419,0.7231595295153349
2023-11-26,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2023,11,26,8.03530640191718,22.377884286203447,2.089179664498467,5.222949161246167,0.7231775761725462
