Date,Price,Volume,Market,Volatility,Price-to-Volume Ratio,SMA_50,OpenMarket
2021-11-26,4594.6201171875,3517700000.0,SP500,0.0060134881355007,1.3061432518939933e-06,4527.50896484375,1
2021-11-27,0.0,0.0,SP500,0.0,0.0,0.0,0
2021-11-28,0.0,0.0,SP500,0.0,0.0,0.0,0
2021-11-29,4655.27001953125,4336410000.0,SP500,0.0063047117481825,1.0735308745093867e-06,4531.954560546875,1
2021-11-30,4567.0,6625990000.0,SP500,0.0072994221662988,6.89255492386798e-07,4536.1399609375,1
2021-12-01,4513.0400390625,5366730000.0,SP500,0.0075237355243481,8.409292137041551e-07,4539.316962890625,1
2021-12-02,4577.10009765625,5077180000.0,SP500,0.0079359418603174,9.01504397649138e-07,4542.946162109375,1
2021-12-03,4538.43017578125,5240070000.0,SP500,0.0080771810868258,8.661010589135737e-07,4544.735166015625,1
2021-12-04,0.0,0.0,SP500,0.0,0.0,0.0,0
2021-12-05,0.0,0.0,SP500,0.0,0.0,0.0,0
2021-12-06,4591.669921875,4770800000.0,SP500,0.0083548534578413,9.62452821722772e-07,4547.45896484375,1
2021-12-07,4686.75,4492400000.0,SP500,0.0091162523629363,1.043261953521503e-06,4552.331767578125,1
2021-12-08,4701.2099609375,4234600000.0,SP500,0.0091235457652387,1.110189855225405e-06,4559.303369140625,1
2021-12-09,4667.4501953125,3903840000.0,SP500,0.0091799544278185,1.195604890393177e-06,4565.463173828125,1
2021-12-10,4712.02001953125,3870110000.0,SP500,0.0091706710280382,1.2175416253107149e-06,4573.5527734375,1
2021-12-11,0.0,0.0,SP500,0.0,0.0,0.0,0
2021-12-12,0.0,0.0,SP500,0.0,0.0,0.0,0
2021-12-13,4668.97021484375,4397230000.0,SP500,0.0093472769601003,1.0617980444151773e-06,4579.791376953125,1
2021-12-14,4634.08984375,4485430000.0,SP500,0.0094554197056429,1.0331428299516434e-06,4586.463974609375,1
2021-12-15,4709.85009765625,4910130000.0,SP500,0.0098895540446191,9.59210875813115e-07,4593.746572265625,1
2021-12-16,4668.669921875,4829500000.0,SP500,0.0099687828038851,9.666983998084688e-07,4599.848974609375,1
2021-12-17,4620.64013671875,7987090000.0,SP500,0.0101137618265227,5.78513593401195e-07,4604.26658203125,1
2021-12-18,0.0,0.0,SP500,0.0,0.0,0.0,0
2021-12-19,0.0,0.0,SP500,0.0,0.0,0.0,0
2021-12-20,4568.02001953125,4635700000.0,SP500,0.0102773736030821,9.854002673881509e-07,4607.800185546875,1
2021-12-21,4649.22998046875,4072430000.0,SP500,0.0108255851075505,1.1416353333191118e-06,4613.560986328125,1
2021-12-22,4696.56005859375,3319610000.0,SP500,0.0109740234943117,1.414792719203084e-06,4620.479189453125,1
2021-12-23,4725.7900390625,2913040000.0,SP500,0.0109111657247326,1.622288069872882e-06,4627.718994140625,1
2021-12-24,0.0,0.0,SP500,0.0,0.0,0.0,0
2021-12-25,0.0,0.0,SP500,0.0,0.0,0.0,0
2021-12-26,0.0,0.0,SP500,0.0,0.0,0.0,0
2021-12-27,4791.18994140625,2770290000.0,SP500,0.0111747813910262,1.729490393210187e-06,4634.77759765625,1
2021-12-28,4786.35009765625,2707920000.0,SP500,0.011119253752312,1.7675374817779885e-06,4641.077197265625,1
2021-12-29,4793.06005859375,2963310000.0,SP500,0.0111187425161073,1.6174683237979658e-06,4647.20919921875,1
2021-12-30,4778.72998046875,3124950000.0,SP500,0.011124774971781,1.5292180612389798e-06,4652.391201171875,1
2021-12-31,4766.18017578125,2677820000.0,SP500,0.0111250201054975,1.7798732460662965e-06,4656.991005859375,1
2022-01-01,0.0,0.0,SP500,0.0,0.0,0.0,0
2022-01-02,0.0,0.0,SP500,0.0,0.0,0.0,0
2022-01-03,4796.56005859375,3831020000.0,SP500,0.0111640804316242,1.2520321111854676e-06,4661.926611328125,1
2022-01-04,4793.5400390625,4683170000.0,SP500,0.0111599629234695,1.023567378306254e-06,4666.8994140625,1
2022-01-05,4700.580078125,4887960000.0,SP500,0.011733558791149,9.616650050583477e-07,4669.581416015625,1
2022-01-06,4696.0498046875,4295280000.0,SP500,0.0117320302296386,1.0933046983403877e-06,4672.006611328125,1
2022-01-07,4677.02978515625,4181510000.0,SP500,0.0117483719466388,1.1185025947938063e-06,4674.513603515625,1
2022-01-08,0.0,0.0,SP500,0.0,0.0,0.0,0
2022-01-09,0.0,0.0,SP500,0.0,0.0,0.0,0
2022-01-10,4670.2900390625,4511810000.0,SP500,0.0109510083979857,1.0351256012692246e-06,4675.991005859375,1
2022-01-11,4713.06982421875,4101590000.0,SP500,0.0108147373359818,1.149083605191828e-06,4678.1448046875,1
2022-01-12,4726.35009765625,4048220000.0,SP500,0.0101777571629716,1.1675131533504233e-06,4680.398408203125,1
2022-01-13,4659.02978515625,4251730000.0,SP500,0.0102937864840643,1.095796248857818e-06,4680.966005859375,1
2022-01-14,4662.85009765625,4338490000.0,SP500,0.0099929212415921,1.0747633618277903e-06,4681.011611328125,1
2022-01-15,0.0,0.0,SP500,0.0,0.0,0.0,0
2022-01-16,0.0,0.0,SP500,0.0,0.0,0.0,0
2022-01-17,0.0,0.0,SP500,0.0,0.0,0.0,0
2022-01-18,4577.10986328125,4748700000.0,SP500,0.0104594484855759,9.63865871350317e-07,4678.952607421875,1
2022-01-19,4532.759765625,4465740000.0,SP500,0.0103856097974962,1.0150075386442112e-06,4675.65720703125,1
2022-01-20,4482.72998046875,4640870000.0,SP500,0.0097616450338622,9.659244883973805e-07,4671.277802734375,1
2022-01-21,4397.93994140625,5589100000.0,SP500,0.0102255901255298,7.868780199685549e-07,4665.5316015625,1
2022-01-22,0.0,0.0,SP500,0.0,0.0,0.0,0
2022-01-23,0.0,0.0,SP500,0.0,0.0,0.0,0
2022-01-24,4410.1298828125,6928110000.0,SP500,0.0102188477632209,6.36555984649854e-07,4660.8,1
2022-01-25,4356.4501953125,5145050000.0,SP500,0.0101535104407059,8.467265032045364e-07,4654.943603515625,1
2022-01-26,4349.93017578125,5570640000.0,SP500,0.0100784669563731,7.808672209622683e-07,4648.285205078125,1
2022-01-27,4326.509765625,5214200000.0,SP500,0.0100487615199685,8.297552386991293e-07,4641.159404296875,1
2022-01-28,4431.85009765625,5031090000.0,SP500,0.0106472506686346,8.808926291631137e-07,4635.778408203125,1
2022-01-29,0.0,0.0,SP500,0.0,0.0,0.0,0
2022-01-30,0.0,0.0,SP500,0.0,0.0,0.0,0
2022-01-31,4515.5498046875,5098610000.0,SP500,0.0112207688860348,8.856433037018913e-07,4632.316005859375,1
2022-02-01,4546.5400390625,4816830000.0,SP500,0.0111706915697054,9.43886339991758e-07,4629.156005859375,1
2022-02-02,4589.3798828125,4481580000.0,SP500,0.0111158808407722,1.0240539905150638e-06,4626.984404296875,1
2022-02-03,4477.43994140625,4401970000.0,SP500,0.0114787153941131,1.0171445833129825e-06,4622.874404296875,1
2022-02-04,4500.52978515625,4706290000.0,SP500,0.0113429652052331,9.56279741613086e-07,4619.07099609375,1
2022-02-05,0.0,0.0,SP500,0.0,0.0,0.0,0
2022-02-06,0.0,0.0,SP500,0.0,0.0,0.0,0
2022-02-07,4483.8701171875,4228480000.0,SP500,0.0112586400899851,1.060397617391474e-06,4614.71919921875,1
2022-02-08,4521.5400390625,4459620000.0,SP500,0.0110417158289172,1.013884599822967e-06,4613.25759765625,1
2022-02-09,4587.18017578125,4524350000.0,SP500,0.0114401430544437,1.0138871165540354e-06,4611.89580078125,1
2022-02-10,4504.080078125,5314860000.0,SP500,0.0118265541341855,8.474503708705403e-07,4610.63740234375,1
2022-02-11,4418.64013671875,5251500000.0,SP500,0.0122256506644385,8.414053388020089e-07,4608.749404296875,1
2022-02-12,0.0,0.0,SP500,0.0,0.0,0.0,0
